OrganisationName,Sector,ParentName,Address1,Address2,Address3,City,Postcode,Website,LAD19CD,MSOA11CD,Longitude,Latitude
Orthopaedics and Spine Specialist Hospital,Independent Sector,Orthopaedics and Spine Specialist Hospital,1 Stirling Way,Bretton,NA,Peterborough,PE3 8YA,NA,E06000031,E02003245,-0.28302180767059326,52.604942321777344
Mount Gould Hospital,Independent Sector,Livewell Southwest,NA,Mount Gould Road,NA,Plymouth,PL4 7QD,https://www.livewellsouthwest.co.uk/,E06000026,E02003142,-4.112740516662598,50.37840270996094
Spire Elland Hospital,Independent Sector,Spire Healthcare,Elland Lane,NA,NA,Elland,HX5 9EB,https://www.spirehealthcare.com/spire-elland-hospital/,E08000033,E02002268,-1.8289133310317993,53.688777923583984
BMI The Highfield Hospital,Independent Sector,BMI Healthcare,NA,Manchester Road,NA,Rochdale,OL11 4LZ,https://www.bmihealthcare.co.uk/hospitals/bmi-the-highfield-hospital,E08000005,E02001141,-2.167490243911743,53.60650634765625
BMI The Meriden Hospital,Independent Sector,BMI Healthcare,University Hospital Site,Clifford Bridge Road,NA,Coventry,CV2 2LQ,https://www.bmihealthcare.co.uk/hospitals/bmi-the-meriden-hospital,E08000026,E02001976,-1.4383885860443115,52.42121505737305
St Hugh's Hospital,Independent Sector,Claremont & St Hugh's Hospitals (Hmt),Peaks Lane,NA,NA,Grimsby,DN32 9RP,http://www.sthughshospital.co.uk,E06000012,E02002737,-0.0738050788640976,53.55105209350586
Southampton NHS Treatment Centre,Independent Sector,Care UK,c/o Care UK - Level C,Southampton NHS Treatment Centre,Brintons Terrace,Southampton,SO14 0YG,http://www.southamptontreatmentcentre.nhs.uk,E06000045,E02003570,-1.3970624208450317,50.912391662597656
Optegra Eye Hospital Birmingham,Independent Sector,Optegra UK,NA,Coleshill Street,NA,Birmingham,B4 7ET,https://www.optegra.com,E08000025,E02001876,-1.8909375667572021,52.48664093017578
Mount Stuart Hospital,Independent Sector,Ramsay Healthcare UK Operations Limited,St. Vincents Road,NA,NA,Torquay,TQ1 4UP,http://www.mountstuarthospital.co.uk,E06000027,E02003157,-3.541743516921997,50.47509765625
Oaklands Hospital,Independent Sector,Ramsay Healthcare UK Operations Limited,19 Lancaster Road,NA,NA,Salford,M6 8AQ,http://www.oaklands-hospital.co.uk,E08000006,E02001177,-2.321049213409424,53.49230194091797
West Midlands Hospital,Independent Sector,Ramsay Healthcare UK Operations Limited,Colman Hill,NA,NA,Halesowen,B63 2AH,http://www.westmidlandshospital.co.uk,E08000027,E02002032,-2.076659679412842,52.45781707763672
Winfield Hospital,Independent Sector,Ramsay Healthcare UK Operations Limited,Tewkesbury Road,Longford,NA,Gloucester,GL2 9WH,http://www.winfieldhospital.co.uk,E07000081,E02004637,-2.2424166202545166,51.88044357299805
Yeovil District Hospital,NHS Sector,Yeovil District Hospital NHS Foundation Trust,Higher Kingston,NA,NA,Yeovil,BA21 4AT,http://www.yeovilhospital.nhs.uk/,E07000189,E02006088,-2.6346983909606934,50.944847106933594
Paignton Health and Welllbeing Centre,NHS Sector,Torbay and South Devon NHS Foundation Trust,Church Street,NA,NA,Paignton,TQ3 3AG,https://www.torbayandsouthdevon.nhs.uk/visiting-us/paignton-health-and-wellbeing-centre/,E06000027,E02003167,-3.56878662109375,50.4371452331543
Bradford Royal Infirmary,NHS Sector,Bradford Teaching Hospitals NHS Foundation Trust,NA,Duckworth Lane,NA,Bradford,BD9 6RJ,http://www.bradfordhospitals.nhs.uk,E08000032,E02002219,-1.7946816682815552,53.80598449707031
St Lukes Hospital,NHS Sector,Bradford Teaching Hospitals NHS Foundation Trust,NA,Little Horton Lane,NA,Bradford,BD5 0NA,http://www.bradfordhospitals.nhs.uk,E08000032,E02002230,-1.7609779834747314,53.783485412597656
Eccleshill Community Hospital,NHS Sector,Bradford Teaching Hospitals NHS Foundation Trust,NA,450 Harrogate Road,Eccleshill,Bradford,BD10 0JE,NA,E08000032,E02002209,-1.7121117115020752,53.82307815551758
North Middlesex University Hospital,NHS Sector,North Middlesex University Hospital NHS Trust,NA,Sterling Way,NA,London,N18 1QX,http://www.northmid.nhs.uk,E09000010,E02006793,-0.07373514026403427,51.613094329833984
Manor Hospital,NHS Sector,Walsall Healthcare NHS Trust,NA,Moat Road,NA,Walsall,WS2 9PS,http://www.walsallhealthcare.nhs.uk,E08000030,E02002135,-1.9989091157913208,52.582332611083984
Arrowe Park Hospital,NHS Sector,Wirral University Teaching Hospital NHS Foundation Trust,Arrowe Park Road,NA,Upton,Wirral,CH49 5PE,http://www.wuth.nhs.uk,E08000015,E02001491,-3.0968008041381836,53.36962890625
St Helens Hospital,NHS Sector,St Helens and Knowsley Hospitals NHS Trust,Marshalls Cross Road,NA,NA,St. Helens,WA9 3DA,http://www.sthk.nhs.uk,E08000013,E02001419,-2.7188868522644043,53.43953323364258
Liverpool Heart and Chest Hospital,NHS Sector,Liverpool Heart and Chest NHS Foundation Trust,NA,Thomas Drive,NA,Liverpool,L14 3PE,http://www.lhch.nhs.uk,E08000012,E02001372,-2.897974729537964,53.411155700683594
Alder Hey Children's NHS Foundation Trust,NHS Sector,Alder Hey Children's NHS Foundation Trust,Alder Hey Children's Hospital,Eaton Road,NA,Liverpool,L12 2AP,http://www.alderhey.nhs.uk,E08000012,E02001375,-2.8977315425872803,53.41930389404297
Luton and Dunstable Hospital,NHS Sector,Luton and Dunstable University Hospital NHS Foundation Trust,NA,Lewsey Road,NA,Luton,LU4 0DZ,https://www.ldh.nhs.uk/,E06000032,E02003270,-0.47441545128822327,51.89414596557617
Weymouth Community Hospital,NHS Sector,Dorset Healthcare University NHS Foundation Trust,Weymouth Community Hospital,3 Melcombe Avenue,NA,Weymouth,DT4 7TB,https://www.dorsethealthcare.nhs.uk/patients-and-visitors/our-services-hospitals/community-hospitals,E06000059,E02004284,-2.450997829437256,50.62104034423828
South Tyneside District Hospital,NHS Sector,South Tyneside NHS Foundation Trust,Harton Lane,NA,NA,South Shields,NE34 0PL,http://www.stft.nhs.uk/,E08000023,E02001778,-1.4282100200653076,54.97197341918945
Palmer Community Hospital,NHS Sector,South Tyneside NHS Foundation Trust,Wear Street,NA,NA,Jarrow,NE32 3UX,http://www.stft.nhs.uk/,E08000023,E02001774,-1.4919613599777222,54.98065948486328
Aintree University Hospital,NHS Sector,Liverpool University Hospitals NHS Foundation Trust,Aintree University Hospital,Lower Lane,NA,Liverpool,L9 7AL,http://www.aintreehospital.nhs.uk,E08000012,E02001351,-2.931089401245117,53.46632766723633
Royal Liverpool University Hospital,NHS Sector,Liverpool University Hospitals NHS Foundation Trust,Prescot Street,NA,NA,Liverpool,L7 8XP,NA,E08000012,E02001377,-2.964794158935547,53.40951156616211
Liverpool Women's NHS Foundation Trust,NHS Sector,Liverpool Women's NHS Foundation Trust,NA,Crown Street,NA,Liverpool,L8 7SS,http://www.liverpoolwomens.nhs.uk/,E08000012,E02001377,-2.9600625038146973,53.39846420288086
The Walton Centre ,NHS Sector,The Walton Centre NHS Foundation Trust,Lower Lane,Fazakerley,NA,Liverpool,L9 7LJ,http://www.thewaltoncentre.nhs.uk,E08000012,E02001351,-2.930985450744629,53.466400146484375
Becklin Centre,NHS Sector,Leeds and York Partnership NHS Foundation Trust,Alma Street,NA,NA,Leeds,LS9 7BE,http://www.leedsandyorkpft.nhs.uk/home,E08000035,E02002393,-1.5244771242141724,53.80526351928711
James Paget University Hospital,NHS Sector,James Paget University Hospitals NHS Foundation Trust,Lowestoft Road,Gorleston,NA,Great Yarmouth,NR31 6LA,http://www.jpaget.nhs.uk/,E07000145,E02005548,1.7179944515228271,52.561668395996094
West Suffolk Hospital,NHS Sector,West Suffolk NHS Foundation Trust,Hardwick Lane,Hardwick Lane,NA,Bury St. Edmunds,IP33 2QZ,http://www.wsh.nhs.uk,E07000245,E02006281,0.7091901898384094,52.23166275024414
Princess Anne Hospital,NHS Sector,University Hospital Southampton NHS Foundation Trust,NA,Coxford Road,NA,Southampton,SO16 5YA,http://www.uhs.nhs.uk,E06000045,E02003550,-1.4348493814468384,50.93526077270508
Northern General Hospital,NHS Sector,Sheffield Teaching Hospitals NHS Foundation Trust,NA,Northern General Hospital,Herries Road,Sheffield,S5 7AU,http://www.sth.nhs.uk/,E08000019,E02001630,-1.46087646484375,53.408878326416016
St Mary,NHS Sector,Portsmouth Hospitals NHS Trust,West Wing,Milton Road,NA,Portsmouth,PO3 6AD,http://www.porthosp.nhs.uk,E06000044,E02003540,-1.0632067918777466,50.800209045410156
Queen Alexandra Hospital,NHS Sector,Portsmouth Hospitals NHS Trust,Southwick Hill Road,Cosham,NA,Portsmouth,PO6 3LY,http://www.porthosp.nhs.uk,E06000044,E02003525,-1.0699176788330078,50.85029983520508
Croydon University Hospital,NHS Sector,Croydon Health Services NHS Trust,NA,530 London Road,NA,Thornton Heath,CR7 7YE,http://www.croydonhealthservices.nhs.uk/,E09000008,E02000208,-0.10876881331205368,51.389129638671875
"Diana, Princess Of Wales Hospital",NHS Sector,Northern Lincolnshire and Goole NHS Foundation Trust,Scartho Road,NA,NA,Grimsby,DN33 2BA,http://www.nlg.nhs.uk/hospitals/grimsby,E06000012,E02002741,-0.09621349722146988,53.544857025146484
Mansfield Community Hospital,NHS Sector,Sherwood Forest Hospitals NHS Foundation Trust,Stockwell Gate,NA,NA,Mansfield,NG18 5QJ,http://www.sfh-tr.nhs.uk,E07000174,E02005887,-1.2062666416168213,53.141361236572266
University Hospital (Coventry),NHS Sector,University Hospitals Coventry and Warwickshire NHS Trust,Clifford Bridge Road,NA,NA,Coventry,CV2 2DX,http://www.uhcw.nhs.uk,E08000026,E02001976,-1.4383885860443115,52.42121505737305
New Cross Hospital,NHS Sector,The Royal Wolverhampton NHS Trust,Wolverhampton Road,Heath Town,NA,Wolverhampton,WV10 0QP,http://www.royalwolverhampton.nhs.uk/,E08000031,E02002163,-2.0955405235290527,52.599727630615234
Leominster Community Hospital,NHS Sector,Wye Valley NHS Trust,"Leominster Community Hospital, Wye Valley NHS Trust",South Street,NA,Leominster,HR6 8JH,http://www.wyevalley.nhs.uk,E06000019,E02002907,-2.7393603324890137,52.22218704223633
Salford Royal,NHS Sector,Salford Royal NHS Foundation Trust,NA,Stott Lane,NA,Salford,M6 8HD,http://www.srft.nhs.uk,E08000006,E02001177,-2.3234095573425293,53.487548828125
"Northgate Hospital, Gt Yarmouth",NHS Sector,Norfolk and Suffolk NHS Foundation Trust,Northgate Street,NA,NA,Great Yarmouth,NR30 1BU,http://www.nwmhp.nhs.uk,E07000145,E02005541,1.7300249338150024,52.61727523803711
Chippenham Community Hospital,NHS Sector,Great Western Hospitals NHS Foundation Trust,NA,Rowden Hill,NA,Chippenham,SN15 2AJ,http://www.gwh.nhs.uk,E06000054,E02006654,-2.126694917678833,51.45254135131836
Russells Hall Hospital,NHS Sector,The Dudley Group NHS Foundation Trust,Pensnett Road,NA,NA,Dudley,DY1 2HQ,http://www.dudleygroup.nhs.uk,E08000027,E02002012,-2.1185030937194824,52.50294876098633
Guest Hospital,NHS Sector,The Dudley Group NHS Foundation Trust,Tipton Road,NA,NA,Dudley,DY1 4SE,http://www.dgh.nhs.uk,E08000027,E02002005,-2.0727152824401855,52.52050018310547
Corbett Hospital,NHS Sector,The Dudley Group NHS Foundation Trust,Vicarage Road,NA,NA,Stourbridge,DY8 4JB,http://www.dgh.nhs.uk,E08000027,E02002030,-2.146383285522461,52.46540832519531
Kettering General Hospital,NHS Sector,Kettering General Hospital NHS Foundation Trust,NA,Rothwell Road,NA,Kettering,NN16 8UZ,http://www.kgh.nhs.uk,E07000153,E02005645,-0.741529107093811,52.401145935058594
St Mary's Hospital,NHS Sector,Northamptonshire Healthcare NHS Foundation Trust,77 London Road,NA,NA,Kettering,NN15 7PW,http://www.nhft.nhs.uk,E07000153,E02005647,-0.7221850156784058,52.394100189208984
Montagu Hospital,NHS Sector,Doncaster and Bassetlaw Teaching Hospitals NHS Foundation Trust,Adwick Road,NA,NA,Mexborough,S64 0AZ,http://www.dbh.nhs.uk,E08000017,E02001569,-1.2849314212799072,53.49981689453125
Manthorpe Centre,NHS Sector,Lincolnshire Partnership NHS Foundation Trust,Manthorpe Centre,Grantham Hospital Site,NA,101 Manthorpe Road,NG31 8DG,NA,E07000141,E02005478,-0.6406991481781006,52.92108917236328
Birmingham Children's Hospital,NHS Sector,Birmingham Women's and Children's NHS Foundation Trust,NA,Steelhouse Lane,NA,Birmingham,B4 6NH,http://www.bwc.nhs.uk,E08000025,E02001876,-1.8937397003173828,52.48489761352539
Homerton University Hospital,NHS Sector,Homerton University Hospital NHS Foundation Trust,Homerton Row,Homerton Row,NA,London,E9 6SR,http://www.homerton.nhs.uk,E09000012,E02000363,-0.04608435556292534,51.55063247680664
St James's Hospital,NHS Sector,Leeds Teaching Hospitals NHS Trust,Beckett Street,NA,NA,Leeds,LS9 7TF,http://www.leedsth.nhs.uk,E08000035,E02002393,-1.5203437805175781,53.8068733215332
Chapel Allerton Hospital,NHS Sector,Leeds Teaching Hospitals NHS Trust,Chapeltown Road,NA,NA,Leeds,LS7 4SA,http://www.leedsth.nhs.uk,E08000035,E02002371,-1.5297948122024536,53.82263946533203
Royal Orthopaedic Hospital,NHS Sector,The Royal Orthopaedic Hospital NHS Foundation Trust,The Woodlands,Bristol Road South,Northfield,Birmingham,B31 2AP,http://www.roh.nhs.uk/,E08000025,E02001939,-1.9608128070831299,52.421138763427734
Queen Elizabeth Hospital Birmingham,NHS Sector,University Hospitals Birmingham NHS Foundation Trust,Mindelsohn Way,Edgbaston,NA,Birmingham,B15 2WB,http://www.uhb.nhs.uk,E08000025,E02001913,-1.94176185131073,52.45014953613281
Gloucestershire Royal Hospital,NHS Sector,Gloucestershire Hospitals NHS Foundation Trust,NA,Great Western Road,NA,Gloucester,GL1 3NN,http://www.gloshospitals.nhs.uk,E07000081,E02004637,-2.232058525085449,51.86638259887695
London Road Community Hospital,NHS Sector,University Hospital of Derby and Burton NHS Foundation Trust,NA,London Road,NA,Derby,DE1 2QY,http://www.derbyhospitals.nhs.uk,E06000015,E02002813,-1.4686318635940552,52.9143180847168
The James Cook University Hospital,NHS Sector,South Tees Hospitals NHS Foundation Trust,Marton Road,NA,NA,Middlesbrough,TS4 3BW,https://www.southtees.nhs.uk/,E06000002,E02002506,-1.2147899866104126,54.5517578125
Newbridges - Inpatient Unit,NHS Sector,Humber Teaching NHS Foundation Trust,NA,Birkdale Way,Newbridge Road,Hull,HU9 2BH,http://www.humber.nhs.uk,E06000010,E02002673,-0.30832526087760925,53.74993896484375
Maister Lodge - Inpatient Unit,NHS Sector,Humber Teaching NHS Foundation Trust,NA,Hauxwell Road,NA,Hull,HU8 0RB,http://www.humber.nhs.uk,E06000010,E02002662,-0.2866002917289734,53.77357864379883
Avondale Assessment Unit and Psychiatric Intensive Care Unit,NHS Sector,Humber Teaching NHS Foundation Trust,NA,Gladstone Street,Anlaby Road,Hull,HU3 2RT,http://www.humber.nhs.uk,E06000010,E02002680,-0.3621857762336731,53.74435806274414
Cossham Hospital,NHS Sector,North Bristol NHS Trust,NA,Lodge Road,Kingswood,Bristol,BS15 1LF,http://www.nbt.nhs.uk,E06000023,E02003029,-2.5161056518554687,51.46889114379883
St Helier Hospital,NHS Sector,Epsom and St Helier University Hospitals NHS Trust,Wrythe Lane,NA,NA,Carshalton,SM5 1AA,http://www.epsom-sthelier.nhs.uk,E09000029,E02000841,-0.18362735211849213,51.380313873291016
Queen Mary's Hospital For Children,NHS Sector,Epsom and St Helier University Hospitals NHS Trust,Wrythe Lane,NA,NA,Carshalton,SM5 1AA,http://www.epsom-sthelier.nhs.uk,E09000029,E02000841,-0.18362735211849213,51.380313873291016
Queen Elizabeth The Queen Mother Hospital,NHS Sector,East Kent Hospitals University NHS Foundation Trust,Queen Elizabeth The Queen Mother Hospital,St Peters Road,NA,Margate,CT9 4AN,http://www.ekhuft.nhs.uk/qeqm,E07000114,E02005135,1.3893986940383911,51.3780517578125
University Hospital Of Hartlepool,NHS Sector,North Tees and Hartlepool NHS Foundation Trust,Holdforth Road,NA,NA,Hartlepool,TS24 9AH,http://www.nth.nhs.uk,E06000001,E02002484,-1.2278211116790771,54.70240020751953
University Hospital Of North Tees,NHS Sector,North Tees and Hartlepool NHS Foundation Trust,Hardwick Road,NA,NA,Stockton-on-Tees,TS19 8PE,http://www.nth.nhs.uk,E06000004,E02002543,-1.3475654125213623,54.58285903930664
