LAD19CD,Name,Latest infection rate,Mean infection rate over last 3 weeks,upper,lower,Clinically extremely vulnerable,Extent,Percentage of population who are white UK born,Percentage of population who are white not UK born,Percentage of population who are ethnic minority UK born,Percentage of population who are ethnic minority not UK born,Dispersed Accommodation,Subsistence Only,People receiving Section 95 support,LAD19NM,Furlough count,Furlough rate,Homelessness
E06000001,Hartlepool,40.75,36.46333333333333,55.067486991410156,17.859179675256506,4510,0.4973,95.4,2.3,1.2,1.1,263,9,272,Hartlepool UA,11200,0.3,1.017
E06000002,Middlesbrough,32.73,37.71,50.217113975654016,25.202886024345986,6985,0.571,78.9,3.4,8.4,9.3,510,20,530,Middlesbrough UA,16400,0.28000000000000003,0.613
E06000003,Redcar and Cleveland,18.29,23.65,29.561243523997298,17.7387564760027,6280,0.363,95.7,2,0.9,1.4,111,0,111,Redcar and Cleveland UA,16300,0.28999999999999998,0.591
E06000004,Stockton-on-Tees,26.87,21.97,28.39182995726296,15.548170042737038,9060,0.3024,89.9,2.2,3.8,4,621,19,640,Stockton-on-Tees UA,25100,0.28999999999999998,0.492
E06000005,Darlington,23.46,15.953333333333333,22.72067648506824,9.185990181598427,5205,0.2891,91.2,4.8,1,3,196,2,198,Darlington UA,14300,0.3,0.281
E06000006,Halton,61.51,32.70333333333333,59.77413186853235,5.632534798134316,6215,0.4678,93.8,3.4,1.8,0.9,191,4,195,Halton UA,17600,0.28999999999999998,0.457
E06000007,Warrington,91.63,54.403333333333336,93.40552600673739,15.401140659929283,8200,0.1837,87.7,5.7,3.1,3.5,23,2,25,Warrington UA,30300,0.28999999999999998,2.057
E06000008,Blackburn with Darwen,107.42,77.43333333333334,105.79859788935913,49.068068777307545,5475,0.5519,62.6,3,22.1,12.2,305,10,315,Blackburn with Darwen UA,20400,0.33,0.789
E06000009,Blackpool,25.12,18.663333333333334,28.04643694212575,9.280229724540915,6645,0.5766,93.3,4.3,1.2,1.2,NA,NA,NA,Blackpool UA,20900,0.36,1.092
E06000010,"Kingston upon Hull, City of",10.36,7.93,11.81444333206188,4.04555666793812,11530,0.5505,86.6,8.6,2.4,2.4,483,14,497,"Kingston upon Hull, City of (UA)",38500,0.32,3.809
E06000011,East Riding of Yorkshire,17.37,10.793333333333333,17.418862243038078,4.1678044236285885,14495,0.0891,94.5,3.7,0.9,0.9,NA,NA,NA,East Riding of Yorkshire UA,44800,0.3,1.822
E06000012,North East Lincolnshire,6.26,6.26,9.39,3.1299999999999994,6475,0.3858,91.4,5.4,1.7,1.5,68,8,76,North East Lincolnshire UA,20800,0.3,1.464
E06000013,North Lincolnshire,22.67,13.760000000000002,21.671137718432163,5.848862281567841,6790,0.2043,90.9,4.3,2.2,2.6,0,3,3,North Lincolnshire UA,21700,0.28000000000000003,1
E06000014,York,28.59,16.993333333333332,27.502426221557954,6.484240445108711,7545,0.054,88.4,6.4,2.6,2.6,NA,NA,NA,York UA,30300,0.32,1.076
E06000015,Derby,16.72,13.61,18.6626923516082,8.5573076483918,8210,0.3427,72.2,8.2,10.6,9,789,28,817,Derby UA,37500,0.31,4.345
E06000016,Leicester,79.95,55.46,82.83935901368037,28.080640986319636,13535,0.3713,38.2,8.4,22.2,31.1,759,43,802,Leicester UA,54500,0.34,0.827
E06000017,Rutland,12.6,10.916666666666666,16.158463432407714,5.674869900925616,1180,0,94.2,4.4,NA,1.4,0,1,1,Rutland UA,5100,0.32,1.902
E06000018,Nottingham,23.56,21.849999999999998,32.67675851767277,11.023241482327222,11020,0.5235,63.1,7.7,13.5,15.7,817,32,849,Nottingham UA,41500,0.31,4.128
E06000019,"Herefordshire, County of",17.18,10.756666666666666,18.199611872251168,3.3137214610821637,6965,0.0687,91,7.5,0.4,1.1,NA,NA,NA,"Herefordshire, County of (UA)",24800,0.31,0.505
E06000020,Telford and Wrekin,11.25,9.746666666666666,15.520368540969956,3.972964792363376,5660,0.2605,85.9,5,5.6,3.6,0,6,6,Telford and Wrekin UA,26700,0.32,0.961
E06000021,Stoke-on-Trent,24.63,23.323333333333334,30.83901249980481,15.80765416686186,11025,0.5073,81.5,4.4,6.7,7.4,909,33,942,Stoke-on-Trent UA,38100,0.34,1.811
E06000022,Bath and North East Somerset,5.73,10.413333333333334,16.808896899848275,4.017769766818392,6650,0.0402,85.8,9.5,1.9,2.7,NA,NA,NA,Bath and North East Somerset UA,27900,0.33,1.041
E06000023,"Bristol, City of",12.3,13.956666666666667,19.019218724012184,8.89411460932115,14280,0.288,78.4,8.2,6.3,7.2,223,22,245,"Bristol, City of (UA)",69500,0.3,4.736
E06000024,North Somerset,10.28,16.05,25.24189316735133,6.858106832648675,7580,0.1151,88.4,7.1,2.3,2.2,0,5,5,North Somerset UA,31500,0.32,1.209
E06000025,South Gloucestershire,11.68,11.44,13.570164312911096,9.309835687088903,10650,0.0126,88.9,4.6,3.4,3.1,74,4,78,South Gloucestershire UA,42000,0.28999999999999998,1.335
E06000026,Plymouth,15.96,14.06,15.716381598545457,12.403618401454544,10750,0.306,90.3,5.2,2.1,2.5,283,14,297,Plymouth UA,36400,0.31,2.603
E06000027,Torbay,0.74,4.666666666666667,9.677298695995237,-0.34396536266190214,6005,0.2912,91.9,4.4,1.3,2.4,0,1,1,Torbay UA,20000,0.37,2.277
E06000030,Swindon,8.11,14.716666666666667,20.7146691119257,8.718664221407634,7805,0.1566,75.3,7.1,5.5,12.1,180,16,196,Swindon UA,37400,0.31,1.661
E06000031,Peterborough,24.87,24.043333333333333,26.39495688597379,21.691709780692875,5715,0.3675,68.7,14.8,8.4,8.1,167,12,179,Peterborough UA,28400,0.27,7.502
E06000032,Luton,26.15,20.86,30.022548772039357,11.69745122796064,9750,0.271,39.1,12.1,24.6,24.2,106,51,157,Luton UA,32700,0.33,4.927
E06000033,Southend-on-Sea,12.61,12.606666666666666,13.701670471835092,11.51166286149824,7145,0.2216,83.4,6.1,4.5,6,49,5,54,Southend-on-Sea UA,24700,0.31,1.805
E06000034,Thurrock,8.69,8.5,11.689247560162114,5.310752439837886,9940,0.1214,66.3,10.8,11.9,11,148,28,176,Thurrock UA,27200,0.32,3.758
E06000035,Medway,5.04,5.76,8.008199279423422,3.5118007205765767,9775,0.2389,86.5,6.1,2.8,4.5,2,6,8,Medway UA,37500,0.28999999999999998,3.049
E06000036,Bracknell Forest,20.55,15.613333333333333,23.45607732592504,7.770589340741625,4040,0.0025,76.7,8.9,5.9,8.5,0,1,1,Bracknell Forest UA,19200,0.3,2.014
E06000037,West Berkshire,4.42,6.94,9.46,4.42,4220,0.0077,86.1,8.4,2.2,3.3,NA,NA,NA,West Berkshire UA,22600,0.28000000000000003,0.335
E06000038,Reading,8.58,14.093333333333332,20.309283247331457,7.877383419335205,4520,0.1243,64.9,12.4,9.4,13.3,10,13,23,Reading UA,26300,0.28000000000000003,4.965
E06000039,Slough,20.79,17.883333333333333,23.508049622474797,12.258617044191869,4120,0.1122,29.2,9.4,30.4,30.9,33,33,66,Slough UA,26400,0.34,4.865
E06000040,Windsor and Maidenhead,41.09,25.183333333333334,39.350994867028064,11.0156717996386,4130,5e-4,71.8,12.9,7.6,7.8,0,3,3,Windsor and Maidenhead UA,21700,0.3,0.633
E06000041,Wokingham,8.93,9.13,10.630033332962972,7.62996666703703,4390,0,76.6,8.6,7.5,7.3,0,1,1,Wokingham UA,21700,0.25,1.596
E06000042,Milton Keynes,10.42,10.546666666666667,14.088365882203375,7.004967451129959,14200,0.1183,67.5,9.2,10.5,12.8,0,10,10,Milton Keynes UA,43400,0.3,6.965
E06000043,Brighton and Hove,17.91,13.546666666666667,17.700536348461384,9.392796984871952,9230,0.1682,76.6,12.2,5.4,5.8,27,33,60,Brighton and Hove UA,42000,0.32,3.479
E06000044,Portsmouth,11.16,9.763333333333334,11.789075995502774,7.737590671163893,6890,0.2473,78.4,8.6,4.9,8.1,225,26,251,Portsmouth UA,29700,0.31,5.51
E06000045,Southampton,6.72,7.6466666666666665,8.473729743664627,6.819603589668707,10140,0.2836,70.5,13.1,6.4,10,133,6,139,Southampton UA,34500,0.28999999999999998,2.233
E06000046,Isle of Wight,4.95,4.476666666666667,6.635933517552248,2.317399815781086,5325,0.1654,93.4,3.4,1.9,1.2,NA,NA,NA,Isle of Wight UA,18400,0.35,1.284
E06000047,County Durham,34.16,26.376666666666665,38.56515440441876,14.188178928914565,25790,0.3043,96.1,2.2,1.3,0.4,1,0,1,County Durham UA,69000,0.32,0.623
E06000049,Cheshire East,21.01,18.733333333333334,25.588013000052513,11.878653666614156,14135,0.0852,90,4.3,3.8,1.9,35,2,37,Cheshire East UA,55100,0.3,0.606
E06000050,Cheshire West and Chester,27.02,18.306666666666665,27.95975080249255,8.653582530840781,13900,0.1578,93.9,5.3,NA,0.8,135,0,135,Cheshire West And Chester UA,52600,0.32,0.662
E06000051,Shropshire,12.18,10.616666666666667,13.05257170039301,8.180761632940325,10625,0.0426,92.7,4.3,1.8,1.2,NA,NA,NA,Shropshire UA,42800,0.32,2.104
E06000052,Cornwall,7.39,5.163333333333333,7.774105888216912,2.5525607784497537,NA,0.1323,92.9,4.7,1.6,0.7,0,5,5,Cornwall UA and Isles of Scilly UA,83400,0.37,1.252
E06000053,Isles of Scilly,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,Cornwall UA and Isles of Scilly UA,83400,0.37,0
E06000054,Wiltshire,6.22,9.633333333333333,17.90926429808487,1.3574023685817949,17735,0.0288,89.4,7.2,1.4,2,3,2,5,Wiltshire UA,66800,0.28999999999999998,1.303
E06000055,Bedford,20.39,19.033333333333335,20.498267916628212,17.568398750038458,6000,0.1328,70.3,8.3,14.1,7.3,0,5,5,Bedford UA,25300,0.28999999999999998,3.698
E06000056,Central Bedfordshire,10.23,9.64,11.305322791533222,7.97467720846678,12495,0.0297,83.7,8.1,4.6,3.7,10,0,10,Central Bedfordshire UA,44300,0.32,1.488
E06000057,Northumberland,22.48,17.586666666666666,25.00600850629997,10.16732482703336,16705,0.205,96.5,2.5,0.5,0.4,208,0,208,Northumberland UA,41700,0.31,1.346
